iteration	Syria	Eritrea	Russia	Somalia	Tunisia	France	Iran	Lebanon	Morocco	iteration1	Syria1	Eritrea1	Russia1	Somalia1	Tunisia1	France1	Iran1	Lebanon	Morocco1	

0	132	1	1	0	1	22	0	0	209	0	0	0	0	0	0	37	0	
1	252	0	0	0	0	34	0	1	194	0	0	0	0	0	0	9	0	
2	186	0	0	0	0	23	0	2	123	0	0	0	0	0	0	24	0	
3	254	0	0	0	0	15	0	3	164	0	0	0	0	0	0	25	0	
4	201	0	0	0	0	29	0	4	222	0	0	0	0	0	0	35	0	
5	174	0	0	0	0	9	0	5	205	0	0	0	0	0	0	25	0	
6	191	0	0	0	0	27	0	6	211	0	0	0	0	0	0	24	0	
7	214	0	0	0	0	94	0	7	383	0	0	0	0	0	0	45	0	
8	112	0	0	0	0	18	0	8	344	0	0	0	0	0	0	18	0	
9	126	0	0	0	0	16	2	9	230	0	0	0	0	0	0	22	0	
10	189	0	0	0	0	29	0	10	204	0	0	0	0	0	0	45	0	
11	227	0	0	0	0	69	0	11	350	0	0	0	0	0	0	55	0	
12	282	0	0	0	0	75	0	12	153	0	0	0	0	0	0	21	0	
13	139	0	0	0	0	20	0	13	174	0	0	0	0	0	0	51	0	
14	274	0	0	0	0	36	0	14	141	0	0	0	0	0	0	16	0	
15	176	0	0	0	0	24	0	15	140	0	0	0	0	0	0	39	0	
16	121	0	0	0	0	13	0	16	192	0	0	0	0	0	0	23	0	
17	154	0	0	0	0	30	0	17	445	0	0	0	0	1	0	48	0	
18	394	0	0	0	0	72	0	18	258	0	0	0	0	1	0	20	0	
19	295	0	0	0	0	79	0	19	210	0	0	0	0	3	1	39	0	
20	163	0	0	0	0	26	0	20	286	0	3	0	0	4	1	20	0	
21	263	0	0	0	1	61	0	21	131	0	3	0	0	3	3	15	0	
22	187	0	0	0	0	23	0	22	280	0	1	0	0	1	2	28	0	
23	140	0	0	0	0	44	0	23	166	0	2	0	0	2	3	18	0	
24	243	0	0	0	0	37	0	24	193	0	2	0	0	1	1	27	0	
25	144	0	0	0	0	39	0	25	225	0	3	0	0	1	1	23	0	
26	142	0	0	0	0	10	0	26	1748	2	4	0	0	21	1	71	0	
27	204	0	0	3	0	84	0	27	2694	1	13	0	0	32	4	195	0	
28	204	0	0	2	0	47	0	28	1599	1	20	0	0	10	5	121	0	
29	156	0	0	1	0	28	0	29	1285	2	17	0	0	25	6	81	0	
30	218	0	0	7	2	43	0	30	884	1	13	1	0	6	5	56	0	
31	121	0	0	1	2	28	1	31	646	2	8	6	0	5	18	27	0	
32	178	0	0	5	3	85	0	32	519	1	9	2	0	2	4	53	0	
33	231	0	0	3	2	44	0	33	592	4	25	2	0	5	4	31	0	
34	498	0	0	2	1	65	0	34	428	2	1	3	0	5	4	28	0	
35	213	0	0	3	1	47	0	35	731	1	2	1	2	14	1	25	1	
36	249	4	0	1	11	37	0	36	5250	5	12	1	2	572	15	79	1	
37	205	1	0	1	2	41	0	37	3334	3	21	2	1	201	6	49	1	
38	263	1	0	4	1	46	0	38	1801	1	6	4	1	68	5	43	2	
39	95	6	0	4	2	15	0	39	1839	1	5	3	1	68	3	62	1	
40	149	2	0	3	3	15	0	40	1162	1	8	3	1	27	6	33	3	
41	220	3	0	33	1	21	0	41	1101	1	2	3	5	11	6	37	1	
