2011 January,,2011 February,,2011 March,,2011 April,,2011 May,,2011 June,,2011 July,,2011 Auguest,,2011 September,,2011 October ,,2011 November,,2011 December,,2012 January,,2012 February,,2012 March,,2012 April,,2012 May,,2012 June,,2012 July,,2012 Auguest,,2012 September,,2012 October ,,2012 November,,2012 December,,2013 January,,2013 February,,2013 March,,2013 April,,2013 May,,2013 June,,2013 July,,2013 Auguest,,2013 September,,2013 October ,,2013 November,,2013 December,,2014 January,,2014 February,,2014 March,,2014 April,,2014 May,,2014 June,,2014 July,,2014 Auguest,,2014 September,,2014 October,,2014 November,,2015 January,,2015 February,,2015 March,,2015 April,,May-15,,2015 July,,2015 Auguest,,2015 September,,2015 October,,2015 November,,2015 December,,
,,,,,,,,United States,1,Russia,1,United Kingdom,2,Saudi Arabia,3,United States,3,,,France,3,Tunisia,1,Afghanistan,1,China,1,Jordan,22,Iran,22,Libya,1,Qatar,3,Lebanon,105,Iraq,55,Morocco,5,Algeria,1,Israel,20,Cuba,2,Iraq,34,Tunisia,8,Libya,9,Russia,53,Lebanon,29,Israel,22,Bhutan,1,Spain,2,Israel,34,Israel,43,Afghanistan,3,Algeria,3,Afghanistan,4,Jordan,106,Afghanistan,1,Qatar,1,Iran,9,Turkey,44,Canada,13,United Arab Emirates,1,Canada,4,Malta,1,Estonia,2,Jordan,91,Lebanon,95,Belgium,1,Sweden,1,Sweden,3,West Bank,5,Canada,5,Jordan,327,Jordan,142,Jersey,10,Jersey,10,
,,,,,,,,,,United Arab Emirates,3,Germany,1,Gaza Strip,3,,,,,Thailand,2,,,Jordan,1,United States,23,United States,10,Canada,4,Greece,1,Yemen,1,United States,23,Germany,8,Libya,10,Niger,1,Kuwait,8,Israel,133,Lebanon,112,West Bank,3,Bulgaria,1,United States,5,China,4,Afghanistan,4,Iran,5,United Kingdom,8,Switzerland,15,Australia,7,Iraq,42,Libya,3,Turkey,66,Qatar,6,United States,21,Turkey,47,Egypt,7,Finland,1,Italy,6,Macedonia,1,France,35,Switzerland,3,Iraq,38,Turkey,100,Qatar,7,Saudi Arabia,2,Azerbaijan,3,Yemen,4,Yemen,2,United States,28,Thailand,1,Russia,55,Greece,48,Greece,48,
,,,,,,,,,,Switzerland,3,Iraq,3,Jordan,3,,,,,Iraq,2,,,,,Somalia,1,China,2,Jordan,51,Qatar,1,Saudi Arabia,4,Sweden,2,Russia,8,Iraq,88,United States,8,Tunisia,3,Qatar,1,United Arab Emirates,6,Jordan,95,Germany,6,Ukraine,6,Norway,1,United Kingdom,3,Israel,90,Israel,46,Russia,46,Egypt,64,Bulgaria,26,Egypt,34,Russia,1,Iran,6,United Kingdom,17,Russia,5,Central African Republic,1,Iraq,64,Sweden,4,Germany,1,Azerbaijan,1,West Bank,4,United States,32,Czech Republic,16,United Kingdom,15,China,3,Saudi Arabia,4,Israel,32,Israel,15,Greece,146,Poland,14,Afghanistan,16,Kuwait,6,Kuwait,6,
,,,,,,,,,,Germany,1,Russia,2,India,1,,,,,New Zealand,3,,,,,United Kingdom,5,Canada,1,West Bank,1,Cyprus,1,South Africa,2,Qatar,10,Australia,7,Israel,12,United Kingdom,2,Russia,32,Egypt,8,Sweden,7,Azerbaijan,9,Kenya,2,Turkey,24,Malaysia,2,Japan,3,Nepal,1,Iraq,169,United Kingdom,35,Rwanda,4,Egypt,72,Saudi Arabia,3,Italy,6,Switzerland,3,Egypt,8,Israel,19,Iraq,35,Israel,29,Congo,2,Qatar,1,United States,78,Israel,9,Saudi Arabia,3,Germany,4,Egypt,9,Macedonia,3,Morocco,1,Morocco,3,Uruguay,9,Serbia,14,Lebanon,468,Australia,51,United Kingdom,207,United Kingdom,207,
,,,,,,,,,,Afghanistan,8,,,Libya,4,,,,,Tunisia,1,,,,,Israel,2,Libya,4,China,2,Denmark,1,Afghanistan,2,Puerto Rico,1,Norway,1,United Kingdom,3,Czechoslovakia,1,France,7,Algeria,6,Iceland,1,France,1,Switzerland,5,Switzerland,1,Iraq,3,United States,13,Cyprus,1,Iran,4,Jordan,152,Turkey,39,Kuwait,11,Iraq,53,Libya,5,Sweden,1,Iraq,34,Kuwait,1,Saudi Arabia,5,West Bank,1,Ukraine,3,Rwanda,1,Germany,9,Armenia,1,France,2,Iran,2,Serbia,2,Italy,7,Netherlands,1,United Arab Emirates,1,Norway,1,Macedonia,45,Canada,566,Germany,105,Oceans,6,Oceans,6,
,,,,,,,,,,Croatia,1,,,,,,,,,,,,,,,Armenia,1,Netherlands,1,Russia,2,Kuwait,1,Namibia,1,Israel,18,United Kingdom,7,Cyprus,1,Luxembourg,1,Morocco,5,Tunisia,22,Slovenia,1,Mali,1,United States,22,United Arab Emirates,4,Saudi Arabia,1,Germany,7,Armenia,8,Russia,38,Italy,33,Armenia,9,Japan,2,Germany,11,Malta,3,New Zealand,20,Italy,2,Egypt,10,West Bank,5,Poland,1,Australia,1,United Kingdom,8,United Kingdom,6,United Kingdom,9,Libya,3,Somalia,1,Canada,2,Bulgaria,3,United Kingdom,14,Equatorial Guinea,1,Afghanistan,26,Pakistan,9,Austria,74,United Kingdom,173,Iraq,128,Iraq,128,
,,,,,,,,,,United Kingdom,2,,,,,,,,,,,,,,,Tunisia,1,Russia,3,Somalia,2,Sudan,2,Hungary,1,Cyprus,3,Saudi Arabia,15,Austria,1,Austria,1,Italy,1,China,4,Mauritania,7,Libya,3,United Kingdom,10,Canada,4,Algeria,14,Egypt,2,Puerto Rico,4,Morocco,4,Reunion,2,Austria,5,Libya,8,South Africa,1,Bulgaria,6,Armenia,1,Ukraine,2,Afghanistan,4,United States,14,Egypt,7,Sudan,3,Armenia,1,China,1,Libya,4,Kuwait,11,Greece,3,China,2,Cyprus,1,Gaza Strip,3,Sierra Leone,1,Brazil,2,France,1,Norway,32,Congo,2,Austria,15,Austria,15,
,,,,,,,,,,Bahrain,1,,,,,,,,,,,,,,,Iran,1,France,4,Australia,1,Gaza Strip,2,United Arab Emirates,1,North Korea,1,Israel,21,Bahrain,1,Greece,3,Qatar,4,Armenia,6,Mali,33,United States,9,Egypt,13,Israel,9,Chad,4,Bahrain,1,France,7,Gaza Strip,1,New Zealand,6,Ireland,2,Switzerland,2,Sweden,4,Qatar,8,France,1,United Arab Emirates,1,Spain,3,Armenia,3,China,11,Yemen,1,Turkmenistan,5,Russia,2,Germany,40,Spain,1,Chile,1,United States,161,United Arab Emirates,3,Japan,2,Norway,4,Egypt,4,Russia,7,Morocco,4,Eritrea,8,Lebanon,175,Lebanon,175,
,,,,,,,,,,Australia,1,,,,,,,,,,,,,,,,,Israel,14,Tunisia,2,France,1,Bahrain,2,United Kingdom,11,Morocco,5,France,3,Finland,1,Egypt,1,Denmark,2,Iran,3,Armenia,1,Japan,2,Georgia,2,Morocco,5,Libya,9,United Kingdom,8,Germany,5,West Bank,5,Switzerland,8,Russia,4,Kuwait,6,Iran,6,Russia,5,Hungary,4,Iraq,26,Belarus,1,United Arab Emirates,2,Saudi Arabia,1,Nigeria,2,Egypt,3,Montenegro,1,Netherlands,2,Canada,28,India,2,United States,26,United States,37,Libya,15,United Kingdom,12,Qatar,3,Australia,259,Ethiopia,2,Russia,21,Russia,21,
,,,,,,,,,,Malta,7,,,,,,,,,,,,,,,,,Armenia,1,Iraq,11,Tunisia,1,Kuwait,1,China,1,Kuwait,4,Sudan,1,Denmark,1,United Arab Emirates,2,Mali,6,Azerbaijan,2,Egypt,6,Georgia,3,Egypt,2,Western Sahara,1,Mali,2,Afghanistan,2,Brazil,2,Bulgaria,51,Kuwait,12,Saudi Arabia,3,United States,25,Somalia,1,Greece,2,Yemen,1,Thailand,1,Russia,4,United Kingdom,10,Oman,1,Bahrain,1,Sweden,3,Kuwait,4,Norway,4,Philippines,2,Australia,3,Germany,8,Italy,5,Italy,4,Kuwait,10,Oman,1,Italy,42,Canada,135,Malta,4,Malta,4,
