2011 January,,2011 February,,2011 March,,2011 April,,2011 May,,2011 Jun,,2011 July,,2011 Auguest,,2011 September,,2011 October,,2011 November,,2011 December,,2012 January,,2012 February,,2012 March,,2012 April,,2012 May,,2012 Jun,,2012 July,, 2012 Auguest,,2012 September,,2012 October,,2012 November,,2012 December,,2013 January,,2013 February,,2013 March,,2013 April,,2013 May,,2013 Jun,,2013 July,,2013 Auguest,,2013 September,,2013 October,,2013 November,,2013 December,,2014 January,,2013 February,,2014 March,,2014 April,,2014 May,,2014 Jun,,2014 May,,2014 Jun,,2014 July,,2014 Auguest,,2014 September,,2014 October,,2014 November,,2014 December,,2015 January,,2015 February,,2015 March,,2015 April,,2015 May,,2015 June,,2015 July,,2015 Auguest,,2015 September,,2015 October,,2015 November,,2015 December,
,,,,,,,,Libya,4,United Arab Emirates,3,Russia,1,Germany,1,,,,,,,Italy,3,Democratic Republic of the Congo,1,Egypt,4,Northern Mariana Islands,1,Russia,3,Greece,1,Russia,3,Lebanon,115,Turkey,224,Iran,27,Bulgaria,2,Israel,20,Armenia,9,Iraq,24,Russia,14,Bahrain,2,Northern Mariana Islands,2,Lebanon,21,Russia,33,Canada,22,Iraq,211,Qatar,3,Lebanon,172,United States,37,Germany,26,Jordan,91,Turkey,74,Poland,2,Qatar,2,Iran,4,Turkey,62,Iran,4,Turkey,62,Italy,7,Iraq,89,Egypt,13,Canada,5,Estonia,2,Australia,3,Lebanon,230,Sweden,5,Iran,2,Lebanon,176,Uruguay,4,Israel,48,Greece,14,Greece,227,New Zealand,62,Hungary,18,France,952,Greece,75
,,,,,,,,,,Switzerland,2,,,Gaza Strip,4,,,,,,,Libya,4,Iraq,6,Israel,2,United States,18,Iran,20,Qatar,1,United Kingdom,1,United States,27,Australia,9,Israel,14,United Kingdom,4,France,13,Iraq,18,Israel,64,Turkey,60,Israel,30,Lebanon,36,Israel,15,Afghanistan,4,Bhutan,1,Spain,2,Turkey,135,Libya,21,Bulgaria,34,Algeria,2,Afghanistan,8,Algeria,5,Germany,5,Kuwait,2,Iraq,33,Germany,23,Iraq,33,Germany,23,Iraq,41,Macedonia,3,West Bank,1,Malta,1,Iraq,47,Cyprus,7,Greece,3,United Kingdom,23,Israel,46,Jordan,89,Yemen,1,Norway,11,Russia,4,,3,United States,713,Jordan,234,Mexico,25,Czech Republic,4
,,,,,,,,,,United Kingdom,2,,,Jordan,9,,,,,,,New Zealand,3,Northern Mariana Islands,1,United States,20,China,1,West Bank,5,Libya,1,New Zealand,3,Sweden,3,Germany,11,Ireland,1,Luxembourg,3,Morocco,6,Cuba,1,United Arab Emirates,14,Azerbaijan,7,Germany,5,Russia,54,Norway,1,Zimbabwe,1,Iran,5,United Kingdom,8,Canada,15,United States,38,Algeria,2,Iraq,24,Russia,1,United Kingdom,11,France,9,Russia,4,Central African Republic,1,Austria,1,Central African Republic,1,Austria,1,Ukraine,3,Germany,1,Gaza Strip,3,Japan,1,China,7,Somalia,1,Jordan,110,Egypt,42,South Korea,3,Saudi Arabia,5,Bulgaria,1,Yemen,4,West Bank,5,Serbia,17,Austria,78,Lebanon,161,Turkey,561,Kuwait,7
,,,,,,,,,,Armenia,1,,,Saudi Arabia,5,,,,,,,,,,,Somalia,1,Canada,1,China,3,Kuwait,1,South Africa,2,Northern Mariana Islands,2,United Kingdom,17,South Korea,3,Norway,3,Tunisia,2,Israel,108,Sweden,7,Norway,3,Kenya,2,Ukraine,6,Malaysia,2,Switzerland,3,Norway,1,Israel,40,Israel,32,Russia,12,Japan,2,Libya,2,United States,34,Switzerland,4,United Kingdom,19,Sweden,4,Germany,14,Kuwait,26,Germany,14,Kuwait,26,Australia,3,Rwanda,1,Croatia,2,Switzerland,3,Kuwait,19,India,1,Russia,5,Serbia,1,Australia,5,Morocco,3,United Arab Emirates,1,France,7,Yemen,2,Egypt,7,United Kingdom,933,Australia,68,Iraq,329,Lebanon,240
,,,,,,,,,,Afghanistan,5,,,Northern Mariana Islands,1,,,,,,,,,,,France,1,Libya,4,Libya,3,Sudan,2,Luxembourg,2,Qatar,29,Saudi Arabia,18,Australia,5,Kuwait,10,Kuwait,9,Egypt,7,Iceland,1,Mali,1,Iraq,11,Switzerland,1,Turkey,52,Japan,2,Nepal,2,Germany,8,Switzerland,36,Israel,54,Egypt,101,Egypt,50,Italy,18,Jordan,107,Kuwait,5,Israel,13,West Bank,12,Qatar,2,West Bank,12,Qatar,2,Sudan,2,United Kingdom,8,United Kingdom,17,West Bank,5,United States,49,Switzerland,22,Germany,6,Israel,33,Macedonia,3,Netherlands,1,Sierra Leone,2,Iran,6,Egypt,7,Kuwait,5,Czech Republic,33,United Kingdom,232,Germany,191,United Kingdom,300
,,,,,,,,,,Croatia,2,,,Spain,1,,,,,,,,,,,Saudi Arabia,1,Netherlands,1,France,11,Gaza Strip,2,Afghanistan,2,Puerto Rico,1,Morocco,9,France,4,Belgium,2,United States,20,Algeria,6,Slovenia,1,Israel,36,Switzerland,4,China,1,Saudi Arabia,1,United States,17,Cyprus,1,Russia,42,Russia,48,Egypt,79,Iraq,18,Saudi Arabia,8,Libya,8,Sweden,1,Ukraine,2,Iraq,17,Kuwait,7,Iraq,60,Kuwait,7,Iraq,60,Yemen,2,France,4,Kuwait,3,Netherlands,3,Saudi Arabia,2,Netherlands,1,Canada,30,Canada,1,Italy,8,United Kingdom,21,Libya,14,Italy,11,Gaza Strip,7,Turkey,164,Jordan,363,Afghanistan,10,Iceland,7,Iraq,109
,,,,,,,,,,Italy,2,,,Libya,3,,,,,,,,,,,Germany,2,Russia,4,Somalia,2,Cyprus,1,Namibia,1,Cyprus,6,Israel,11,Russia,32,Denmark,1,United Kingdom,22,Tunisia,19,Mali,24,Libya,3,United States,34,Israel,5,Algeria,10,Germany,12,Armenia,8,Morocco,3,United Kingdom,53,Rwanda,1,Libya,5,West Bank,9,Malta,2,Italy,5,Saudi Arabia,3,Spain,2,United States,15,West Bank,3,United States,15,West Bank,3,Germany,5,Armenia,4,Germany,15,Armenia,2,France,2,United States,38,Iran,2,Germany,1,Bulgaria,3,Gaza Strip,3,Italy,6,Kuwait,37,Uruguay,13,Russia,10,Thailand,1,Canada,179,Libya,9,Austria,19
,,,,,,,,,,Iraq,6,,,,,,,,,,,,,,,United Kingdom,5,France,1,Iraq,2,Tunisia,2,Micronesia,1,Israel,11,Cyprus,1,Spain,2,Italy,6,Qatar,3,China,2,Mauritania,3,Armenia,1,United Kingdom,6,Georgia,2,Switzerland,2,United Kingdom,2,Israel,80,Netherlands,1,Reunion,2,Turkey,91,Switzerland,4,South Africa,1,Bulgaria,6,New Zealand,13,Russia,22,Egypt,23,Armenia,2,Ukraine,2,Armenia,2,Ukraine,2,Oman,1,Turkmenistan,3,Libya,6,United Kingdom,14,Jordan,77,Greece,27,Somalia,1,China,2,Germany,16,Iraq,51,Luxembourg,3,Azerbaijan,7,Norway,4,United Kingdom,15,Lebanon,486,Norway,12,Netherlands,6,Saudi Arabia,26
,,,,,,,,,,Bahrain,1,,,,,,,,,,,,,,,Georgia,1,Israel,14,Australia,1,Japan,1,Saudi Arabia,1,Kuwait,1,Qatar,4,Morocco,5,Libya,2,Saudi Arabia,4,Denmark,2,Iran,10,United States,23,Egypt,12,United Arab Emirates,6,Gaza Strip,4,Egypt,3,Australia,5,Gaza Strip,4,Jordan,177,Armenia,17,Russia,8,Sweden,5,Qatar,20,Armenia,1,Afghanistan,1,Armenia,7,Azerbaijan,2,Belgium,4,Azerbaijan,2,Belgium,4,Switzerland,11,Nigeria,3,France,41,Libya,15,Spain,1,Israel,27,Iraq,81,United States,186,United Arab Emirates,2,Sri Lanka,2,Canada,1,United Kingdom,21,Italy,3,France,2,Canada,750,Israel,52,Egypt,38,Russia,24
,,,,,,,,,,Malta,7,,,,,,,,,,,,,,,Yemen,1,Armenia,1,Northern Mariana Islands,2,,,United Arab Emirates,1,Iran,3,Kuwait,3,Mauritania,1,Saudi Arabia,4,Russia,37,Mali,7,Armenia,2,China,2,Japan,5,Egypt,3,Chad,3,Bahrain,2,Puerto Rico,4,Brazil,3,New Zealand,14,Austria,8,Czechoslovakia,2,Kuwait,11,Israel,39,France,2,United Arab Emirates,2,Thailand,1,Saudi Arabia,4,France,2,Saudi Arabia,4,France,2,Russia,1,Bahrain,1,Sweden,7,Germany,58,Netherlands,2,Yemen,1,Oman,1,Denmark,2,United States,19,West Bank,11,Denmark,7,Indonesia,1,Afghanistan,16,New Zealand,4,Iran,51,Italy,21,Greece,128,Cuba,15
