January 2011,,February 2011,,March 2011,,April 2011,,May 2011,,June 2011,,July 2011,,Auguest 2011,,September 2011,,Octobar 2011,,November 2011,,December 2011,
Syria,9,Syria,12,Syria,28,Lebanon,1,Syria,90,Syria,561,Syria,90,Syria,179,Jordan,15,Northern Mariana Islands,4,Syria,74,Jordan,2
Australia,3,Iraq,3,Libya,1,Syria,4,Israel,6,Turkey,411,Lebanon,19,Lebanon,16,Syria,86,Syria,66,Lebanon,27,Syria,68
Iraq,1,Denmark,1,Israel,2,Libya,1,Turkey,11,Lebanon,52,Turkey,15,Russia,1,Turkey,12,United States,5,Northern Mariana Islands,4,Lebanon,19
Israel,2,West Bank,1,Gaza Strip,2,Turkey,1,Pakistan,1,Tunisia,8,Israel,16,United Kingdom,6,Lebanon,7,Lebanon,11,Iraq,2,United States,5
,,Kuwait,1,Kuwait,1,United States,2,Egypt,5,Libya,9,Tunisia,1,United States,12,United Kingdom,2,Turkey,25,Morocco,2,Turkey,4
,,,,,,,,Lebanon,52,Israel,11,Kuwait,2,Eritrea,4,Austria,5,Jordan,3,West Bank,1,France,3
,,,,,,,,Jordan,2,Egypt,5,Jordan,4,Israel,17,United States,3,Israel,2,Jordan,2,Thailand,1
,,,,,,,,United States,3,France,4,United States,4,Turkey,27,Israel,1,Libya,3,Turkey,2,Tunisia,2
,,,,,,,,Iraq,2,Russia,2,Spain,1,Iraq,5,Iraq,1,,,,,Iraq,2
,,,,,,,,Libya,4,United Arab Emirates,3,Russia,1,Germany,1,,,,,,,Italy,3
,,,,,,,,,,Switzerland,2,,,Gaza Strip,4,,,,,,,Libya,4
,,,,,,,,,,United Kingdom,2,,,Jordan,9,,,,,,,New Zealand,3
,,,,,,,,,,Armenia,1,,,Saudi Arabia,5,,,,,,,,
,,,,,,,,,,Afghanistan,5,,,Northern Mariana Islands,1,,,,,,,,
,,,,,,,,,,Croatia,2,,,Spain,1,,,,,,,,
,,,,,,,,,,Italy,2,,,Libya,3,,,,,,,,
,,,,,,,,,,Iraq,6,,,,,,,,,,,,
,,,,,,,,,,Bahrain,1,,,,,,,,,,,,
,,,,,,,,,,Malta,7,,,,,,,,,,,,
,,,,,,,,,,United States,13,,,,,,,,,,,,
,,,,,,,,,,Iran,2,,,,,,,,,,,,
,,,,,,,,,,Somalia,4,,,,,,,,,,,,
,,,,,,,,,,Cambodia,4,,,,,,,,,,,,
,,,,,,,,,,India,5,,,,,,,,,,,,
,,,,,,,,,,Greece,1,,,,,,,,,,,,
,,,,,,,,,,West Bank,2,,,,,,,,,,,,
,,,,,,,,,,Sri Lanka,1,,,,,,,,,,,,
,,,,,,,,,,Canada,2,,,,,,,,,,,,
